,dates,titles,tag,descriptions
1880,"December 11, 2017",Chicago-area man arrested on child pornography charges while on bond for pending child pornography trial,|Child Exploitation,"Ronald Feder, 30, of Skokie, Illinois, was arrested Dec. 7 after he handed an undercover agent a thumb drive containing child pornography, according to a criminal complaint and affidavit filed in federal court in Chicago."
1881,"December 11, 2017",Liberian national pleads guilty to federal charges,|Human Rights Violators,"Isaac Kannah, 51, of Philadelphia, faces five years in prison and a $250,000 fine. As a result of the plea agreement, Kannah agreed that:  (1) a felony of obstruction of proceedings occurred before a department or agency of the U.S.; (2) he knew of its commission; (3) he failed to notify relevant authorities; and (4) he did an affirmative act to conceal the crime.  Kannah, who has been in the country since the 1990s, also agreed to the re-opening of his immigration proceedings and to leave the U.S. following the conclusion of the criminal proceedings."
1882,"December 8, 2017",ICE arrests 22 in northern Kentucky during an operation targeting criminal aliens and immigration fugitives,|Enforcement and Removal,"During this operation which ended Dec. 7, ERO deportation officers made arrests in the following Kentucky cities:  Covington (9), Erlanger (1), Florence (6), Newport (4) and Walton (2).  Of those arrested, 20 are men; two are women."
1883,"December 8, 2017",Missouri man pleads guilty to counterfeit airbag scheme,|Intellectual Property Rights and Commercial Fraud,"Aleksey Illyuk, 28, of Ozark, Missouri, pleaded guilty before U.S. Magistrate Judge David P. Rush to one count of mail fraud and one count of smuggling goods into the United States."
1884,"December 8, 2017","ICE arrests 27 in western Michigan operation targeting criminal aliens, illegal re-entrants and immigration violators",|Enforcement and Removal,"Criminal convictions of those arrested during the Michigan enforcement actions included, but are not limited to assault on a police officer or probation officer, larceny, assault and battery DUI, operating while intoxicated, domestic violence, disorderly person, failure to stop at the scene of an accident, public indecency, indecent exposure, retail fraud and welfare fraud."
1885,"December 8, 2017","ICE HSI, ENTERCOM partner to produce opioid awareness PSA",|Narcotics,"On Thursday, Dec. 7, a series of public services announcements (PSA) aimed at raising awareness about opioids were launched throughout upstate New York."
1886,"December 8, 2017",North Texas woman sentenced to 60 years in federal prison for producing child pornography,|Child Exploitation,"Linzi Ladawn Shifflett, 29, from Cleburne, Texas, was sentenced Thursday by U.S. District Judge Jane J. Boyle to 60 years in federal prison and a lifetime of supervised release for producing child pornography."
1887,"December 7, 2017",ICE removes Albanian fugitive convicted of murder,|Enforcement and Removal,"ERO deportation officers escorted Lul Lucaj, 41, who was removed from the United States via a commercial flight. Lucaj was expected to be transferred into the custody Albanian authorities upon arrival in the capital of Tirana, however, during his layover in Rome, Italy, Lucaj was detained by Italian law enforcement authorities after it was determined he is also wanted on criminal charges in Italy."
1888,"December 6, 2017",Missouri woman pleads guilty to counterfeit Louis Vuitton scheme,|Intellectual Property Rights and Commercial Fraud,"Tonya Virtue, 33, of Mountain Grove, Missouri, waived her right to a grand jury and pleaded guilty before U.S. Magistrate Judge David P. Rush to one count of smuggling goods into the United States."
1889,"December 5, 2017","DHS announces progress in enforcing immigration laws, protecting Americans",|Operational,"Today, the Department of Homeland Security (DHS) announced its end-of-year immigration enforcement numbers, the results of a year-long return to enforcing the law, upholding the integrity of our lawful immigration system, and keeping America safe. In Fiscal Year (FY) 2017, U.S. Customs and Border Protection (CBP) reported 310,531 apprehensions nationwide, 303,916 of which were along the Southwest border, underscoring the need for a physical barrier at the border."
1890,"December 4, 2017",Last of 13 pleads guilty in South Texas to alien smuggling,|Human Smuggling/Trafficking,"Jose Francisco Morales Jr., from El Cenizo, Texas, is the last of 13 to be convicted in the conspiracy in which illegal aliens were smuggled past Border Patrol checkpoints between September 2015 and June 2017."
1891,"December 4, 2017",6 plead guilty in South Texas to conspiracy to transporting illegal aliens,|Human Smuggling/Trafficking,"On Dec. 4, the following defendants pleaded guilty to the smuggling charges: brothers Lucio Segundo, 31, and Christopher Segundo, 23, of Giddings, Texas. On Monday, four others entered their guilty pleas: Francisco Segura, 29, also of Giddings; Alex De La Rosa, 23, of San Marcos, Texas; Jesus Perez, 24, of La Grange; and David Cedillo, 46, of Austin."
1892,"December 4, 2017",Mexican man pleads guilty in South Texas for deadly alien transport case that killed 3,|Human Smuggling/Trafficking,"Omar Gonzalez-Herrera, 25, from Nuevo Laredo, Mexico, admitted during his Dec. 4 re-arraignment that he was hoping to be paid $1,500 in exchange for guiding a group of 14 persons across the Rio Grande River to illegally enter the United States."
1893,"December 4, 2017",Denver-area ICE detainee passes away at local hospital,|Detainee Death Notifications,"Consistent with the agency’s protocols, the appropriate state health and local law enforcement agencies have been notified about the death, as have the Department of Homeland Security’s Office of Inspector General and ICE’s Office of Professional Responsibility."
1894,"December 1, 2017",Previously convicted Illinois sex offender sentenced to 10 years in federal prison for distributing child pornography ,|Child Exploitation,"HSI Chicago special agents began investigating Robert J. Kasanda, 59, of Darien, Illinois, after receiving a lead from WPD.  Kasanda was discovered possessing numerous explicit images of children under the age of 12 being sexually assaulted, and images and videos depicting violence being inflicted upon children."
1895,"December 1, 2017",ICE arrests Liberian man after detainer not honored,|Enforcement and Removal,"Holston Doe, a citizen of Liberia, entered the United States legally, on Feb. 25, 2004. Since that time, he has been convicted of several criminal convictions which render him removable from the country."
1896,"December 1, 2017","ICE arrests Jamaican national wanted for robbery, attempted murder",|Enforcement and Removal,"Mwando Lloyd Pryce, 31, was admitted to the U.S. legally with a nonimmigrant visa in August 2009 with authorization to remain in the United States until Feb. 7, 2010. Pryce failed to depart the United States as required. In August 2015, Interpol issued a Red Notice for Pryce, for crimes committed while he was Police Constable in Jamaica."
1897,"November 30, 2017",HSI Houston arrests MS-13 gang member wanted for aggravated murder in El Salvador,|Transnational Gangs,"Pedro Cruz-Rodriquez, 19, a citizen and national of El Salvador, last entered the country illegally Nov. 2, 2016.  Cruz-Rodriquez is a suspect in the aggravated murder of Jaime Roberto Loza Garay and the aggravated kidnapping of four other men in El Salvador."
1898,"November 30, 2017",Texas Panhandle man sentenced to 17 ½ years in federal prison for distributing methamphetamine ,|Narcotics,"Eduardo Gutierrez-Zamora, 31, of Amarillo, Texas, pleaded guilty in June 2017 to one count of conspiracy to distribute or possess with intent to distribute 500 grams or more of methamphetamine."
1899,"November 30, 2017",Massachusetts man pleads guilty to counterfeit steroid conspiracy,|Narcotics,"Philip Goodwin, 37 of Lynn, Massachusetts, pleaded guilty to one count of conspiracy to distribute controlled substances, one count of conspiracy to traffic counterfeit drugs, one count of trafficking counterfeit drugs, one count of possession with intent to distribute controlled substances, and one count of money laundering conspiracy. U.S. District Court Judge Nathaniel M. Gorton scheduled sentencing for Feb. 28, 2018."
